Mark,Competitor,DOB,Nat,Venue,Date
1:41.11,Emmanuel WANYONYI,01 Aug 2004,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 Aug 2024
1:41.19,Emmanuel WANYONYI,01 Aug 2004,KEN,"Stade de France, Paris (FRA)",10 Aug 2024
1:41.20,Marco AROP,20 Sep 1998,CAN,"Stade de France, Paris (FRA)",10 Aug 2024
1:41.46,Djamel SEDJATI,03 May 1999,ALG,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:41.50,Djamel SEDJATI,03 May 1999,ALG,"Stade de France, Paris (FRA)",10 Aug 2024
1:41.56,Djamel SEDJATI,03 May 1999,ALG,"Stade Charléty, Paris (FRA)",07 Jul 2024
1:41.58,Emmanuel WANYONYI,01 Aug 2004,KEN,"Stade Charléty, Paris (FRA)",07 Jul 2024
1:41.61,Gabriel TUAL,09 Apr 1998,FRA,"Stade Charléty, Paris (FRA)",07 Jul 2024
1:41.67,Bryce HOPPEL,05 Sep 1997,USA,"Stade de France, Paris (FRA)",10 Aug 2024
1:41.70,Emmanuel WANYONYI,01 Aug 2004,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 Jun 2024
1:41.72,Marco AROP,20 Sep 1998,CAN,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 Aug 2024
1:42.04,Mohamed ATTAOUI,26 Sep 2001,ESP,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:42.08,Aaron Kemei CHEMININGWA,21 Jun 1998,KEN,"Stade Charléty, Paris (FRA)",07 Jul 2024
1:42.08,Wyclife KINYAMAL,02 Jul 1997,KEN,"Stade Charléty, Paris (FRA)",07 Jul 2024
1:42.08,Mohamed ATTAOUI,26 Sep 2001,ESP,"Stade de France, Paris (FRA)",10 Aug 2024
1:42.10,Gabriel TUAL,09 Apr 1998,FRA,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:42.13,Aaron Kemei CHEMININGWA,21 Jun 1998,KEN,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:42.14,Gabriel TUAL,09 Apr 1998,FRA,"Stade de France, Paris (FRA)",10 Aug 2024
1:42.27,Ben PATTISON,15 Dec 2001,GBR,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:42.30,Gabriel TUAL,09 Apr 1998,FRA,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 Aug 2024
1:42.43,Eliott CRESTAN,22 Feb 1999,BEL,"Stade Charléty, Paris (FRA)",07 Jul 2024
1:42.50,Wyclife KINYAMAL,02 Jul 1997,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 Jun 2024
1:42.63,Bryce HOPPEL,05 Sep 1997,USA,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 Aug 2024
1:42.66,Koitatoi KIDALI,12 Feb 2003,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 Jun 2024
1:42.77,Bryce HOPPEL,05 Sep 1997,USA,"Hayward Field, Eugene, OR (USA)",30 Jun 2024
1:42.82,Tshepiso MASALELA,25 May 1999,BOT,"Stade de France, Paris (FRA)",10 Aug 2024
1:42.93,Marco AROP,20 Sep 1998,CAN,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:43.13,Andreas KRAMER,13 Apr 1997,SWE,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:43.19,Eliott CRESTAN,22 Feb 1999,BEL,"Stade Louis II, Monaco (MON)",12 Jul 2024
1:43.23,Djamel SEDJATI,03 May 1999,ALG,"Olympiastadion, Stockholm (SWE)",02 Jun 2024
1:43.32,Emmanuel WANYONYI,01 Aug 2004,KEN,"Stade de France, Paris (FRA)",09 Aug 2024
1:43.41,Bryce HOPPEL,05 Sep 1997,USA,"Stade de France, Paris (FRA)",09 Aug 2024
1:43.48,Pieter SISK,08 Dec 1999,BEL,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 Aug 2024
1:43.50,Max BURGIN,20 May 2002,GBR,"Stade de France, Paris (FRA)",09 Aug 2024
